Test,Total Time
javascript-mysql-app-adprocedure-1,0.00403078
javascript-mysql-app-adprocedure-2,0.00442159
javascript-mysql-app-adprocedure-3,0.00432987
javascript-mysql-app-aggre-1,0.06435841
javascript-mysql-app-aggre-2,1.47548623
javascript-mysql-app-aggre-3,6.63240357
javascript-mysql-app-filter-1,0.00957673
javascript-mysql-app-filter-2,0.047399170000000004
javascript-mysql-app-filter-3,0.09936699
javascript-mysql-app-procedure-1,0.00973488
javascript-mysql-app-procedure-2,0.04492095
javascript-mysql-app-procedure-3,0.0823166
javascript-mysql-app-sort-1,0.0137862
javascript-mysql-app-sort-2,0.07369161
javascript-mysql-app-sort-3,0.15550276
javascript-mysql-data-adprocedure-1,0.005922340000000001
javascript-mysql-data-adprocedure-2,0.006391989999999999
javascript-mysql-data-adprocedure-3,0.00589607
javascript-mysql-data-aggre-1,0.023899840000000002
javascript-mysql-data-aggre-2,0.12123706000000001
javascript-mysql-data-aggre-3,0.25432523
javascript-mysql-data-filter-1,0.00381262
javascript-mysql-data-filter-2,0.01304044
javascript-mysql-data-filter-3,0.02218378
javascript-mysql-data-procedure-1,0.03811395
javascript-mysql-data-procedure-2,0.17495149999999998
javascript-mysql-data-procedure-3,0.33080754
javascript-mysql-data-sort-1,0.01544898
javascript-mysql-data-sort-2,0.08058878
javascript-mysql-data-sort-3,0.16391122
php-mysql-app-adprocedure-1,0.00494062
php-mysql-app-adprocedure-2,0.00490148
php-mysql-app-adprocedure-3,0.005339310000000001
php-mysql-app-aggre-1,6.36308542
php-mysql-app-aggre-2,30.034923090000003
php-mysql-app-aggre-3,30.066589680000003
php-mysql-app-filter-1,0.00786747
php-mysql-app-filter-2,0.03004774
php-mysql-app-filter-3,0.05692433
php-mysql-app-procedure-1,0.0078175
php-mysql-app-procedure-2,0.030128409999999998
php-mysql-app-procedure-3,0.057743
php-mysql-app-sort-1,0.01972605
php-mysql-app-sort-2,0.10600870999999999
php-mysql-app-sort-3,0.23517816
php-mysql-data-adprocedure-1,0.00683849
php-mysql-data-adprocedure-2,0.00655367
php-mysql-data-adprocedure-3,0.00674121
php-mysql-data-aggre-1,0.02390214
php-mysql-data-aggre-2,0.11414588
php-mysql-data-aggre-3,0.23303339999999997
php-mysql-data-filter-1,0.0042025299999999995
php-mysql-data-filter-2,0.01206865
php-mysql-data-filter-3,0.021832699999999997
php-mysql-data-procedure-1,0.03550823
php-mysql-data-procedure-2,0.14284387
php-mysql-data-procedure-3,0.28039702
php-mysql-data-sort-1,0.011868529999999999
php-mysql-data-sort-2,0.05375094
php-mysql-data-sort-3,0.10756505000000001
python-mysql-app-adprocedure-1,0.024778929999999998
python-mysql-app-adprocedure-2,0.02442415
python-mysql-app-adprocedure-3,0.02415784
python-mysql-app-aggre-1,0.04317706
python-mysql-app-aggre-2,0.14356284
python-mysql-app-aggre-3,0.28015605
python-mysql-app-filter-1,0.03089241
python-mysql-app-filter-2,0.06636936
python-mysql-app-filter-3,0.11604975
python-mysql-app-procedure-1,0.045470550000000005
python-mysql-app-procedure-2,0.14323584
python-mysql-app-procedure-3,0.26689627
python-mysql-app-sort-1,0.029432520000000004
python-mysql-app-sort-2,0.07074095
python-mysql-app-sort-3,0.13437711
python-mysql-data-adprocedure-1,0.02497401
python-mysql-data-adprocedure-2,0.02492492
python-mysql-data-adprocedure-3,0.02477596
python-mysql-data-aggre-1,0.046962859999999995
python-mysql-data-aggre-2,0.15004952
python-mysql-data-aggre-3,0.28572894000000004
python-mysql-data-filter-1,0.0225017
python-mysql-data-filter-2,0.03105388
python-mysql-data-filter-3,0.04076937
python-mysql-data-procedure-1,0.06793788
python-mysql-data-procedure-2,0.24361813999999998
python-mysql-data-procedure-3,0.46147457000000003
python-mysql-data-sort-1,0.0315736
python-mysql-data-sort-2,0.08120324999999999
python-mysql-data-sort-3,0.14587208000000002
