Language,Test Name,Data Layer (Dataset 1),Data Layer (Dataset 2),Data Layer (Dataset 3),Application Layer (Dataset 1),Application Layer (Dataset 2),Application Layer (Dataset 3)
javascript,adprocedure,0.005922340000000001,0.006391989999999999,0.00589607,0.00403078,0.00442159,0.00432987
javascript,aggre,0.023899840000000002,0.12123706000000001,0.25432523,0.06435841,1.47548623,6.63240357
javascript,filter,0.00381262,0.01304044,0.02218378,0.00957673,0.047399170000000004,0.09936699
javascript,procedure,0.03811395,0.17495149999999998,0.33080754,0.00973488,0.04492095,0.0823166
javascript,sort,0.01544898,0.08058878,0.16391122,0.0137862,0.07369161,0.15550276
php,adprocedure,0.00683849,0.00655367,0.00674121,0.00494062,0.00490148,0.005339310000000001
php,aggre,0.02390214,0.11414588,0.23303339999999997,6.36308542,30.034923090000003,30.066589680000003
php,filter,0.0042025299999999995,0.01206865,0.021832699999999997,0.00786747,0.03004774,0.05692433
php,procedure,0.03550823,0.14284387,0.28039702,0.0078175,0.030128409999999998,0.057743
php,sort,0.011868529999999999,0.05375094,0.10756505000000001,0.01972605,0.10600870999999999,0.23517816
python,adprocedure,0.02497401,0.02492492,0.02477596,0.024778929999999998,0.02442415,0.02415784
python,aggre,0.046962859999999995,0.15004952,0.28572894000000004,0.04317706,0.14356284,0.28015605
python,filter,0.0225017,0.03105388,0.04076937,0.03089241,0.06636936,0.11604975
python,procedure,0.06793788,0.24361813999999998,0.46147457000000003,0.045470550000000005,0.14323584,0.26689627
python,sort,0.0315736,0.08120324999999999,0.14587208000000002,0.029432520000000004,0.07074095,0.13437711
